name,status
#HASHOFF,operating
#waywire,operating
"(THE) ONE of THEM,Inc.",operating
01Games Technology,operating
1 Mainstream,operating
1 of 99,operating
1-4 All,operating
1-800-DENTIST,operating
1-Page,operating
1000 Markets,operating
1000Lookz,operating
1001pharmacies.com,operating
1006.tv,operating
100du.tv,operating
10Six,operating
10seconds Software,operating
117go,closed
120 Sports,operating
121nexus,operating
123Greetings,operating
12cm,operating
139shop,operating
140 Proof,operating
140Fire,operating
16 Mile Solutions,operating
16Lab Inc.,operating
17hats,operating
180Solutions,operating
1DayMakeover,operating
1World Online,operating
1bib,operating
1jiajie,operating
1spire,operating
1st Choice Lawn Care,operating
20Dresses,operating
23andMe,operating
24i,operating
24me,operating
250ok,operating
25eight,operating
280 North,operating
29West,operating
2DHeat,operating
2Wire,operating
2theloo,operating
2threads,operating
3 day Blinds,operating
365 Retail Markets,operating
365Scores,operating
365net,operating
37mhealth,operating
3D Biomatrix,operating
3D By Flow,operating
3D Industri.es,operating
3D Robotics,operating
3DBin,operating
3DMGAME,operating
3DR Laboratories,operating
3Dmena,operating
3IS,operating
3Nod,operating
3TIER,operating
3d Vision Systems,operating
3sun,operating
4 Animals AlsterScience GmbH,operating
4 Cast Broadcasting Corporation,operating
4-Tell,operating
42Networks,operating
4Cable TV,operating
4D Energetics,closed
4Deep,operating
4Front Security,operating
4Less,operating
4Soils,operating
4th aspect,operating
4theTable,operating
5 Screens Media,operating
5 Star Mobile,operating
50 Partners,operating
500Friends,operating
500Indies,operating
500px,operating
51tour,operating
55social,closed
55tuan.com,operating
59Saniye,operating
5BARz International,operating
5ensesinfood,operating
6D Global Technologies,operating
6Rooms,operating
6Wunderkinder / Wunderlist,operating
6connect,operating
6px,operating
6th Wave Innovations Corporation,operating
7-bites,operating
72xuan,operating
7Park Data,operating
800.COM,operating
8fit - Fitness for the rest of us,operating
8villages,operating
8x8 Inc,operating
9+ Program,operating
908 Devices,operating
91Mobiles,operating
99Gamers,operating
99Presents,operating
99Taxis,operating
99cloud,operating
99tests,operating
9Cookies,operating
9Lenses,operating
9Mile Labs,operating
A & D Propane,operating
A Bit Lucky,operating
A Crowd of Monsters,operating
A Fourth Act,operating
A LITTLE WORLD,operating
A Place for Rover,operating
A&H Software House,operating
A&L Technology,operating
A+ Network,operating
A-Gas,operating
A-Life Medical,operating
A-Power Energy Generation Systems,operating
A123 Systems,operating
AAC Technologies Holdings,operating
AAIPharma Services,operating
ABBYY Language Services,operating
ABC Data,operating
ABC Management,operating
ABEJA,operating
ABILITY Network,operating
ABK Biomedical,operating
ABODO,operating
ABSMaterials,operating
ABT Molecular Imaging,operating
ACCESS Bill Pay Services,operating
ACE Portal,operating
ACE*COMM,operating
ACS Biomarker,operating
ACTIV Financial Systems,operating
ACell,operating
ADAPTIX,operating
ADEA Cutters,operating
ADMA Biologics,operating
ADVANCE DISPLAY TECHNOLOGIES,operating
ADVANCED CREDIT TECHNOLOGIES,operating
ADVIDS,operating
ADexact Corp.,operating
AEA Technology,operating
AF83,operating
AFB,operating
AFCV Holdings,operating
AFFiRiS,operating
AFG Media,operating
AGERpoint,operating
AGM Automotive,operating
AI Media,operating
AIMM Therapeutics,operating
AIO Robotics,operating
AIS,operating
AIT,operating
AJAX Street,operating
AKT,operating
ALUHEAT,operating
AMAX Global Services,operating
AMDL,operating
AMERICAN PET RESORT,operating
AML Superconductivity and Magnetics,operating
AMP Credit Technologies,operating
AMS Sciences,operating
AMT,operating
AMW Foundation,operating
ANDA Networks,operating
ANDbio,operating
ANDevices,operating
ANT Farm,operating
APE Systems,operating
APIMATIC,operating
APPEK Mobile Apps,operating
APROOFED,operating
APSU,operating
APX Group,operating
AR Devices,operating
ARAMOZ,operating
ARS-ATD,operating
AReflectionOf Inc.,operating
ASC Information Technology,operating
ASI System Integration,operating
ATG Media (The Saleroom),operating
ATOMOO,operating
ATrillion-Semantix,operating
AVIcode,operating
AVM Biotechnology,operating
AVOS Cloud,operating
AVST,closed
AW-Energy,operating
AWCC Holdings,closed
AWP Energy,operating
AWS Electronics,operating
AXADO,operating
AYLIEN,operating
AZTherapies,operating
AZZURRO Semiconductors,operating
Aardvark,operating
Aarki,operating
Aaron Andrews Apparel,operating
Aasaanjobs,operating
AbZorba Games,operating
Abacuz Limited,operating
AbeBooks,operating
"Abelite Design Automation, Inc",operating
Abeome Corporation,operating
Abimate.ee,operating
Abios Gaming,operating
Abiquo Group,operating
Ablative Solutions,operating
Able Lending,operating
Able Planet,operating
AbleSky,closed
Above Security,operating
Abra,operating
AbsolutData,closed
Abukai,operating
Acacia,operating
Acacia Communications,operating
Acacia Pharma,operating
Acacia Research,operating
Academic Earth,operating
Academica,operating
Accedian Networks,operating
AccelOne,operating
Accelario,operating
Accelera,operating
Accelerate Diagnostics,operating
Accelerated IO,operating
Accelerated Pictures,operating
AcceloWeb,operating
Accendo Therapeutics,operating
Accent,operating
Accent Custom Finishings & Design Center,operating
Accent Media Limited,operating
Accera,operating
Access Closure,operating
Access Information Management,operating
Access Integrated Healthcare,operating
Access Media 3,operating
Access Network,operating
AccessSportsMedia.com,operating
Accio Energy,operating
Accipiter Systems,operating
Accompany,operating
Accord Biomaterials,operating
Accredible,operating
Accu-Break Pharmaceuticals,operating
AccuRev,operating
AccuSilicon,operating
Accupal,operating
Accurence,closed
Accuri Cytometers,operating
Acendre,operating
Acer,operating
Acertiv,operating
Acesis,operating
AchaLa,operating
Achieve Financial Services,operating
AchieveIt,operating
Achievers,operating
Achvr,operating
Acision,operating
Acousticeye,operating
Acquisition Glacier II,closed
ActBlue,operating
ActSocial,operating
Actifile,closed
Actimize,operating
Action Audio Apps,operating
Action Online Publishing,operating
ActionFlow,operating
Actional Garners,operating
Actionality,operating
Activ,operating
Activaero,operating
Active Endpoints,operating
Active Life Scientific,operating
Active Scaler,operating
Active Voice Corporation,operating
Active-Semi,operating
ActiveCloud,operating
ActiveSec,operating
Activity Stream,operating
Actiwave,closed
ActoGeniX,operating
Actona Technologies,operating
Actual Experience,operating
ActualSun,operating
ActuatedMedical,operating
Acturis,operating
Actus Digital,operating
Acuity Pharmaceuticals,operating
Acumera,operating
Acupera,operating
Acusphere,operating
Acylin Therapeutics,operating
AdBm Technologies,operating
AdECN,operating
AdEx Media,operating
AdGent Digital,operating
AdHack,operating
AdLib Mediation LLC,operating
AdMobilize,operating
AdReady,operating
AdStage,operating
AdTapsy,operating
AdWhirl,operating
AdWill,operating
AdWired,operating
AdXpose,operating
Adamant Energy,operating
Adamas Pharmaceuticals,operating
Adams Floor Decor,operating
Adapt Technologies,operating
Adaptive Technologies,operating
Adaptivity,operating
